year,price,d12,e12,ret,retx,aaa,baa,lty,ltr,corpr,tbl,rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag,date,date_m,price_m,d12_m,e12_m,ret_decimal,rfree_m,dfy_m,tbl_m,tms_m,ntis_m,dp,ge,gm,gs,ms,r_log,dp_annual,ge_annual,m_annual,gm_annual,ret_lead
1871,4.74,0.26,0.4,,,,,,,,,0.04961,0.054852,0.056034,0.084388,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871-12-31,1871-12-31,4.74,0.26,0.4,0.12282452743985513,0.0045917272727272725,,,,,0.004560611307641576,0.0,0.06538275926285195,,,,0.004560611307641576,,11.85,,
1872,5.07,0.3,0.43,,,,,,,,,0.074134,0.059172,0.060606,0.084813,0.697674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872-12-31,1872-12-31,5.07,0.3,0.43,0.13110873905197318,0.0059555833333333336,,,,,0.004918849071596339,0.07232066157962608,-0.005016979683519266,,,,0.004918849071596339,0.07232066157962608,11.790697674418606,-0.005016979683519266,
1873,4.42,0.33,0.46,,,,,,,,,0.091715,0.074661,0.081683,0.104072,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873-12-31,1873-12-31,4.42,0.33,0.46,-0.06850522049639211,0.007310333333333333,,,,,0.0062024444682464,0.06744128079553269,-0.20464240230901784,,,,0.0062024444682464,0.06744128079553269,9.608695652173912,-0.20464240230901784,
1874,4.54,0.33,0.46,,,,,,,,,0.058314,0.072687,0.07221,0.101322,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874-12-31,1874-12-31,4.54,0.33,0.46,0.10386570312347006,0.00428725,,,,,0.006038997216768112,0.0,0.026787315963649982,,,,0.006038997216768112,0.0,9.869565217391305,0.026787315963649982,
1875,4.37,0.3,0.36,,,,,,,,,0.045897,0.06865,0.06865,0.08238,0.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875-12-31,1875-12-31,4.37,0.3,0.36,0.03269874631649505,0.0036200833333333332,,,,,0.005704522029641537,-0.2451224580329851,0.20695845508722716,,,,0.005704522029641537,-0.2451224580329851,12.13888888888889,0.20695845508722716,
1876,3.58,0.3,0.28,,,,,,,,,0.043973,0.083799,0.083333,0.078212,1.071429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876-12-31,1876-12-31,3.58,0.3,0.28,-0.11769118706874944,0.0034731666666666665,,,,,0.00695897032430346,-0.25131442828090594,0.05191421958601614,,,,0.00695897032430346,-0.25131442828090594,12.785714285714285,0.05191421958601614,
1877,3.25,0.19,0.3,,,,,,,,,0.042278,0.058462,0.058282,0.092308,0.633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877-12-31,1877-12-31,3.25,0.19,0.3,-0.019706397807868245,0.0034775,,,,,0.004859966081893665,0.06899287148695142,-0.1657006755579141,,,,0.004859966081893665,0.06899287148695142,10.833333333333334,-0.1657006755579141,
1878,3.45,0.18,0.31,,,,,,,,,0.038657,0.052174,0.051873,0.089855,0.580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878-12-31,1878-12-31,3.45,0.18,0.31,0.1210122105974811,0.0032185000000000004,,,,,0.0043384015985981645,0.03278982282299097,0.026929411878631328,,,,0.0043384015985981645,0.03278982282299097,11.129032258064516,0.026929411878631328,
1879,4.92,0.2,0.38,,,,,,,,,0.040892,0.04065,0.040568,0.077236,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879-12-31,1879-12-31,4.92,0.2,0.38,0.4941033513185443,0.0033186666666666664,,,,,0.0033818091073809773,0.20359895524123955,0.1513353442197089,,,,0.0033818091073809773,0.20359895524123955,12.947368421052632,0.1513353442197089,
1880,5.84,0.26,0.49,,,,,,,,,0.043404,0.044521,0.046346,0.083904,0.530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-12-31,1880-12-31,5.84,0.26,0.49,0.24111470210297134,0.0034927499999999998,,,,,0.003703180417700397,0.25423413838424086,-0.08281187204832183,,,,0.003703180417700397,0.25423413838424086,11.918367346938776,-0.08281187204832183,
1881,6.01,0.32,0.44,,,,,,,,,0.042232,0.053245,0.051696,0.073211,0.727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881-12-31,1881-12-31,6.01,0.32,0.44,0.07833240788874773,0.003459583333333333,,,,,0.004427234680096111,-0.10763066419236544,0.13632461589934577,,,,0.004427234680096111,-0.10763066419236544,13.659090909090908,0.13632461589934577,
1882,5.84,0.32,0.43,,,,,,,,,0.049152,0.054795,0.055077,0.07363,0.744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882-12-31,1882-12-31,5.84,0.32,0.43,0.025795114308316512,0.0038261666666666665,,,,,0.004555816535860718,-0.02298951822469872,-0.005704433482281772,,,,0.004555816535860718,-0.02298951822469872,13.581395348837209,-0.005704433482281772,
1883,5.34,0.33,0.4,,,,,,,,,0.049154,0.061798,0.06044,0.074906,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883-12-31,1883-12-31,5.34,0.33,0.4,-0.031313103132526866,0.00381375,,,,,0.005136597798695571,-0.07232066157962601,-0.017184482288406078,,,,0.005136597798695571,-0.07232066157962601,13.35,-0.017184482288406078,
1884,4.34,0.31,0.31,,,,,,,,,0.043679,0.071429,0.071264,0.071429,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884-12-31,1884-12-31,4.34,0.31,0.31,-0.13057732052281457,0.003509333333333333,,,,,0.005934735519814548,-0.25489224962879015,0.04754094476900019,,,,0.005934735519814548,-0.25489224962879015,14.0,0.04754094476900019,
1885,5.2,0.24,0.27,,,,,,,,,0.033202,0.046154,0.045802,0.051923,0.888889,,,,,,,,0.023739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885-12-31,1885-12-31,5.2,0.24,0.27,0.27175808234366705,0.0026667500000000003,,,,,0.00383877630716568,-0.13815033848081704,0.3189346159558853,,,,0.00383877630716568,-0.13815033848081704,19.25925925925926,0.3189346159558853,
