year,start_date,forecast_target_date,r_log_ann,ms_ann,hist_mean_ann,N_months
1948,1948-01-31,1948-12-31,0.05124592899390861,0.07594212395632836,0.05403984229461638,12
1949,1949-01-31,1949-12-31,0.16600117514333423,0.09011895594509704,0.05300801403900336,12
1950,1950-01-31,1950-12-31,0.2847714974892013,0.1010662106282729,0.06134412710818043,12
1951,1951-01-31,1951-12-31,0.21046391698180142,0.12912940711831541,0.0698693750604872,12
1952,1952-01-31,1952-12-31,0.17346787669575756,0.13515817233025806,0.07338600507242106,12
1953,1953-01-31,1953-12-31,-0.01722260308389127,0.14542145018065628,0.07345464636134552,12
1954,1954-01-31,1954-12-31,0.422966430025626,0.13694783472956654,0.07802708467842054,12
1955,1955-01-31,1955-12-31,0.27230125861221033,0.11399529657247517,0.08787641877400244,12
1956,1956-01-31,1956-12-31,0.062293188224560266,0.1091163957308936,0.09108184418209278,12
1957,1957-01-31,1957-12-31,-0.11445487170074352,0.09404063411852641,0.08838656553761075,12
1958,1958-01-31,1958-12-31,0.36284765175568595,0.1046202410720801,0.08721155465827363,12
1959,1959-01-31,1959-12-31,0.1169011228150405,0.10440172380231047,0.0928308992648357,12
1960,1960-01-31,1960-12-31,0.005883416283477792,0.09385519469574226,0.09027455797801774,12
1961,1961-01-31,1961-12-31,0.2398582471453117,0.08143508448229737,0.09325513320402919,12
1962,1962-01-31,1962-12-31,-0.09154705059099474,0.09387205897012038,0.09024131362138149,12
1963,1963-01-31,1963-12-31,0.20446071364448726,0.0956094989118633,0.09144500658364405,12
1964,1964-01-31,1964-12-31,0.15425876172221303,0.10631417163964396,0.09393351802771882,12
1965,1965-01-31,1965-12-31,0.11876430217246399,0.10952853227072394,0.09452823786620816,12
1966,1966-01-31,1966-12-31,-0.10753601418083163,0.1224772936934006,0.092223280839667,12
1967,1967-01-31,1967-12-31,0.21480103021780955,0.10062337282564633,0.09232556954246855,12
1968,1968-01-31,1968-12-31,0.1027968793488154,0.08505035715450243,0.09261789254622453,12
1969,1969-01-31,1969-12-31,-0.08685147177360185,0.07673442777048854,0.09134075040086038,12
1970,1970-01-31,1970-12-31,0.03909640369474929,0.07720881651540693,0.08633094459710564,12
