variable,count,mean,std,min,p25,median,p75,max,skew,kurt
r_log,1188,0.008151774731930713,0.05367561047722499,-0.3389206314952325,-0.016971962590228356,0.013075639755988711,0.03818869000283674,0.34664319377110187,-0.4819127795269298,7.66330596049964
dp,1848,0.0035257293812791996,0.0014714241485432626,0.0009037127311493213,0.002510455471642743,0.003503781143788662,0.004438062416890503,0.012720760382515482,0.5708885923225654,1.3074672759639774
ge,1847,0.0033915579095362617,0.03684778493079255,-0.5282812548707683,-0.008757183502258157,0.0054794657646255705,0.01620823681652301,0.7038551948324177,1.9045426706051356,114.37772611536847
gm,1847,0.0005006645251779005,0.05740004593784266,-0.7238150600545953,-0.025612347094643217,0.0009060866405976745,0.028070568871968786,0.53607239064805,-0.5313296812962645,23.861632251237236
gs,1608,0.0034427760234291265,0.0026727033995578965,-0.005381529590680971,0.0017035540579857216,0.00403904450190145,0.005421060854790796,0.008671716441863585,-0.6491490915949297,-0.28805859500619535
ms,1608,0.006799791295534038,0.0025612204473854138,-0.002787294876070957,0.005522314291415141,0.006902504740518357,0.008395331971957817,0.014328844395203856,-0.2940761326080723,0.4104074312202002
hist_mean,949,0.007441002355267482,0.0009043619554880238,0.00411828830834054,0.007206940153583765,0.0077163209983044006,0.007952154691740768,0.00877871297982187,-1.878417492981232,3.5930050977285766
VIXCLS,420,19.538904761904764,7.503524215142685,9.51,13.7575,17.665,23.505,59.89,1.7086997658181065,4.471878269052706
dfy,1272,0.011659984276729561,0.006833828084903005,0.0032,0.0071,0.0094,0.0141,0.0564,2.204194460320645,7.515247141434722
ntis,1177,0.01533090059473237,0.025840521026076927,-0.055954,0.002195,0.015588,0.026702,0.177041,1.61338853511086,7.725081610384791
tbl,1260,0.03360841269841269,0.029543385132776708,0.0001,0.007475,0.0304,0.050824999999999995,0.163,1.0993211261975917,1.5950694012915063
tms,1260,0.015490143650793651,0.013218732331323592,-0.0365,0.0061,0.0156,0.0251,0.0455,-0.12332916130658639,-0.08108615520218843
