date,forecast_target_date,ret_lead,hist_mean,ms,ms_enh_VIXCLS,ms_enh_dfy,ms_enh_ntis,ms_lagfund,ms_winsor
2024-01-31,2024-02-29,0.051672672414605464,0.008047518553331455,0.006833713996821131,0.00452497974291733,0.005447420465648561,0.011143556312248755,0.0069301231260345915,0.0064670057941854445
2024-02-29,2024-03-31,0.03170310352515368,0.008084551790904693,0.006679603236021081,0.0038688243509744534,0.0048953152429160604,0.01088127589765786,0.006774179765940237,0.006312895033385395
2024-03-31,2024-04-30,-0.04061368288529708,0.008104584489576658,0.006552098366601487,0.0035740100439853725,0.004799688317928794,0.010497108548573116,0.006644885669132202,0.0061853901639658
2024-04-30,2024-05-31,0.0482481125240748,0.008063297822309818,0.006530582605062182,0.005220034604985233,0.004603691636737691,0.010444623082234941,0.006600817250761077,0.0061638744024264955
2024-05-31,2024-06-30,0.036523810547700014,0.008097323914351957,0.006408659816759589,0.0033328923147241726,0.004393484013733526,0.010441243991702686,0.00647664955296462,0.006041951614123903
2024-06-30,2024-07-31,0.012074805231796154,0.008121373395429237,0.0063050438892838425,0.0029857105679724875,0.004253526864159435,0.010619774133367989,0.006370822406882106,0.005938335686648156
2024-07-31,2024-08-31,0.02399285562243962,0.008124715265113403,0.006290690699011371,0.005663149318388211,0.004435029260131529,0.010316689550403681,0.006292760751506724,0.005923982496375683
2024-08-31,2024-09-30,0.022564496097407488,0.008138117410685469,0.006264233049880008,0.004746239943065145,0.004487919628329146,0.010209937718544348,0.006266309159499864,0.005897524847244322
2024-09-30,2024-10-31,-0.00872797823062358,0.00815029156991477,0.006240892515578623,0.00593666392072263,0.004541243891382628,0.010109767899218566,0.006242956048605808,0.005874184312942937
2024-10-31,2024-11-30,0.05866505606211318,0.008136060313759174,0.006307842591290631,0.010332821342461818,0.004203076618589976,0.010041297598917177,0.006251491337093902,0.005941134388654945
2024-11-30,2024-12-31,-0.023724206646807394,0.008178628970665958,0.006304386615263263,0.003801880117601103,0.003987000339694767,0.00945055515403626,0.006249423873009969,0.005937678412627576
2024-12-31,,,0.008151774731930713,0.006384841369881251,0.006418311896059471,0.00377283551888681,0.009541313474156935,0.006330686128063692,0.006018133167245566
